Timestamp(ms),Current(uA),D0-D7
568,1011.879,10000000
569,1025.171,10000000
570,1017.555,10000000
571,1010.403,10000000
572,1024.285,10000000
573,1024.280,10000000
574,1031.011,10000000
575,1024.055,10000000
576,1014.860,10000000
577,1009.719,10000000
578,1019.375,10000000
579,1012.762,10000000
580,1016.974,10000000
581,1017.336,10000000
582,1011.473,10000000
583,1019.446,10000000
584,1014.921,10000000
585,1018.544,10000000
586,1035.623,10000000
587,1016.883,10000000
588,1028.367,10000000
589,1019.123,10000000
590,1019.227,10000000
591,1020.653,10000000
592,1015.135,10000000
593,1020.150,10000000
594,1016.749,10000000
595,1011.829,10000000
596,1021.162,10000000
597,1018.562,10000000
598,1030.045,10000000
599,1026.141,10000000
600,1015.088,10000000
601,1019.148,10000000
602,1020.014,10000000
603,1018.942,10000000
604,1019.545,10000000
605,1013.967,10000000
606,1021.730,10000000
607,1017.960,10000000
608,1011.351,10000000
609,1022.506,10000000
610,1043.882,10000000
611,1020.627,10000000
612,1024.286,10000000
613,1015.737,10000000
614,1015.107,10000000
615,1017.684,10000000
616,1014.701,10000000
617,1013.834,10000000
618,1015.870,10000000
619,1013.849,10000000
620,1019.229,10000000
621,1017.595,10000000
622,1032.578,10000000
623,1027.320,10000000
624,1017.502,10000000
625,1026.455,10000000
626,1017.735,10000000
627,1018.506,10000000
628,1015.308,10000000
629,1014.022,10000000
630,1020.233,10000000
631,1014.519,10000000
632,1020.611,10000000
633,1019.190,10000000
634,1012.285,10000000
635,1037.728,10000000
636,1020.922,10000000
637,1010.750,10000000
638,1019.713,10000000
639,1010.546,10000000
640,1017.942,10000000
641,1010.214,10000000
642,1016.293,10000000
643,1017.507,10000000
644,1010.601,10000000
645,1020.903,10000000
646,1016.617,10000000
647,1036.159,10000000
648,1025.574,10000000
649,1017.446,10000000
650,1021.865,10000000
651,1017.508,10000000
652,1012.586,10000000
653,1020.484,10000000
654,1018.185,10000000
655,1010.717,10000000
656,1018.343,10000000
657,1011.818,10000000
658,1017.326,10000000
659,1042.950,10000000
660,1017.550,10000000
661,1020.552,10000000
662,1014.468,10000000
663,1020.059,10000000
664,1015.388,10000000
665,1014.957,10000000
666,1021.390,10000000
667,1019.551,10000000
668,1016.680,10000000
669,1019.891,10000000
670,1798.812,10000000
671,2668.090,10000000
672,2981.565,10000000
673,3104.823,10000000
674,3108.581,10000000
675,3128.642,10000000
676,2234.038,10000000
677,1462.100,10000000
678,1183.947,10000000
679,1076.171,10000000
680,1033.823,10000000
681,1027.364,10000000
682,1019.245,10000000
683,1021.301,10000000
684,1032.576,10000000
685,1020.176,10000000
686,1021.071,10000000
687,1020.584,10000000
688,1014.183,10000000
689,1018.854,10000000
690,1017.762,10000000
691,1014.018,10000000
692,1019.250,10000000
693,1017.177,10000000
694,1010.506,10000000
695,1021.409,10000000
696,1034.307,10000000
697,1015.200,10000000
698,1017.917,10000000
699,1018.440,10000000
700,1009.745,10000000
701,1018.015,10000000
702,1016.280,10000000
703,1019.292,10000000
704,1018.920,10000000
705,1013.041,10000000
706,1021.738,10000000
707,1017.556,10000000
708,1034.809,10000000
709,1029.161,10000000
710,1020.191,10000000
711,1021.415,10000000
712,1016.070,10000000
713,1013.894,10000000
714,1018.213,10000000
715,1012.152,10000000
716,1013.546,10000000
717,1016.357,10000000
718,1010.971,10000000
719,1020.399,10000000
720,1047.092,10000000
721,1029.483,10000000
722,1021.813,10000000
723,1017.324,10000000
724,1016.914,10000000
725,1017.457,10000000
