Timestamp(ms),Current(uA),D0-D7
386,3179.858,00000000
387,3089.413,00000000
388,3067.762,00000000
389,3068.013,00000000
390,3081.919,00000000
391,3134.827,00000000
392,3110.085,00000000
393,3088.537,00000000
394,3043.682,00000000
395,3053.505,00000000
396,3056.601,00000000
397,3181.541,00000000
398,3113.689,00000000
399,3086.675,00000000
400,3100.120,00000000
401,3062.589,00000000
402,3052.772,00000000
403,3148.143,00000000
404,3098.054,00000000
405,3058.446,00000000
406,3062.289,00000000
407,3076.838,00000000
408,3156.267,00000000
409,3103.291,00000000
410,3119.272,00000000
411,3077.275,00000000
412,3057.295,00000000
413,3068.750,00000000
414,3183.348,00000000
415,3087.105,00000000
416,3072.313,00000000
417,3076.363,00000000
418,3076.792,00000000
419,3044.318,00000000
420,3146.081,00000000
421,3109.179,00000000
422,3079.214,00000000
423,3080.180,00000000
424,3083.776,00000000
425,3169.177,00000000
426,3108.604,00000000
427,3093.350,00000000
428,3066.931,00000000
429,3054.735,00000000
430,3066.382,00000000
431,3179.027,00000000
432,3085.743,00000000
433,3073.266,00000000
434,3090.364,00000000
435,3060.003,00000000
436,3060.952,00000000
437,3173.499,00000000
438,3079.995,00000000
439,3061.208,00000000
440,3087.819,00000000
441,3042.308,00000000
442,3050.680,00000000
443,3157.846,00000000
444,3079.927,00000000
445,3068.356,00000000
446,3079.254,00000000
447,3094.941,00000000
448,3059.986,00000000
449,3138.794,00000000
450,3106.503,00000000
451,3056.646,00000000
452,3061.857,00000000
453,3079.985,00000000
454,3121.816,00000000
455,3110.387,00000000
456,3094.700,00000000
457,3048.173,00000000
458,3059.773,00000000
459,3088.284,00000000
460,3178.338,00000000
461,3108.968,00000000
462,3090.731,00000000
463,3047.137,00000000
464,3055.283,00000000
465,3065.990,00000000
466,3159.093,00000000
467,3098.621,00000000
468,3079.974,00000000
469,3061.552,00000000
470,3053.253,00000000
471,3079.070,00000000
472,3187.869,00000000
473,3084.531,00000000
474,3068.896,00000000
475,3078.427,00000000
476,3039.972,00000000
477,3048.994,00000000
478,3159.050,00000000
479,3076.321,00000000
480,3076.882,00000000
481,3079.542,00000000
482,3050.365,00000000
483,3064.012,00000000
484,3114.328,00000000
485,3059.279,00000000
486,3034.947,00000000
487,3026.700,00000000
488,3021.696,00000000
489,3129.689,00000000
490,3101.693,00000000
491,3088.596,00000000
492,3055.980,00000000
493,3055.627,00000000
494,3063.550,00000000
495,3196.780,00000000
496,3087.608,00000000
497,3069.501,00000000
498,3073.980,00000000
499,3076.316,00000000
500,3058.281,00000000
501,3153.560,00000000
502,3084.455,00000000
503,3065.592,00000000
504,3073.184,00000000
505,3082.941,00000000
506,3138.671,00000000
507,3129.982,00000000
508,3098.969,00000000
509,3046.745,00000000
510,3053.034,00000000
511,3059.510,00000000
512,3179.640,00000000
513,3087.459,00000000
514,3074.396,00000000
515,3086.386,00000000
516,3062.155,00000000
517,3058.883,00000000
518,3142.288,00000000
519,3113.983,00000000
520,3076.641,00000000
521,3067.952,00000000
522,3076.652,00000000
523,3156.770,00000000
524,3108.677,00000000
525,3094.400,00000000
526,3066.900,00000000
527,3058.106,00000000
528,3062.009,00000000
529,3174.756,00000000
530,3077.668,00000000
531,3092.139,00000000
532,3082.448,00000000
533,3075.897,00000000
534,3047.426,00000000
535,3134.952,00000000
536,3110.526,00000000
537,3058.008,00000000
538,3063.219,00000000
539,3082.698,00000000
