Timestamp(ms),Current(uA),D0-D7
5459,844.557,00000000
5460,842.222,00000000
5461,1164.782,00000000
5462,1994.844,00000000
5463,3720.976,00000000
5464,2725.343,00000000
5465,1541.585,00000000
5466,1097.327,00000000
5467,935.216,00000000
5468,877.580,00000000
5469,855.078,00000000
5470,859.831,00000000
5471,847.194,00000000
5472,844.014,00000000
5473,843.335,00000000
5474,841.186,00000000
5475,843.126,00000000
5476,841.500,00000000
5477,842.276,00000000
5478,841.737,00000000
5479,840.114,00000000
5480,841.735,00000000
5481,843.163,00000000
5482,861.201,00000000
5483,1360.740,00000000
5484,1281.776,00000000
5485,1003.329,00000000
5486,901.789,00000000
5487,862.971,00000000
5488,847.557,00000000
5489,843.015,00000000
5490,844.201,00000000
5491,841.892,00000000
5492,840.794,00000000
5493,840.120,00000000
5494,861.162,00000000
5495,850.812,00000000
5496,842.804,00000000
5497,843.157,00000000
5498,844.250,00000000
5499,840.520,00000000
5500,1065.811,00000000
5501,1134.583,00000000
5502,2416.469,00000000
5503,3969.067,00000000
5504,2418.578,00000000
5505,1427.201,00000000
5506,1081.870,00000000
5507,929.627,00000000
5508,874.686,00000000
5509,854.042,00000000
5510,844.219,00000000
5511,844.693,00000000
5512,841.794,00000000
5513,839.948,00000000
5514,836.929,00000000
5515,839.801,00000000
5516,842.119,00000000
5517,841.358,00000000
5518,868.832,00000000
5519,856.846,00000000
5520,847.615,00000000
5521,842.394,00000000
5522,841.554,00000000
5523,1343.921,00000000
5524,1281.507,00000000
5525,1005.941,00000000
5526,901.239,00000000
5527,862.969,00000000
5528,847.128,00000000
5529,840.053,00000000
5530,847.150,00000000
5531,855.065,00000000
5532,844.013,00000000
5533,843.082,00000000
5534,843.481,00000000
5535,839.706,00000000
5536,841.545,00000000
5537,840.084,00000000
5538,840.649,00000000
5539,841.491,00000000
5540,1234.131,00000000
5541,1120.755,00000000
5542,2644.016,00000000
5543,4077.693,00000000
5544,2987.134,00000000
5545,1637.188,00000000
5546,1136.023,00000000
5547,952.186,00000000
5548,883.550,00000000
5549,860.171,00000000
5550,848.637,00000000
5551,843.018,00000000
5552,843.969,00000000
5553,842.475,00000000
5554,840.349,00000000
5555,862.122,00000000
5556,848.571,00000000
5557,844.347,00000000
5558,842.146,00000000
5559,840.776,00000000
5560,841.687,00000000
5561,841.000,00000000
5562,841.983,00000000
5563,1324.554,00000000
5564,1286.895,00000000
5565,1007.321,00000000
5566,904.132,00000000
5567,887.744,00000000
5568,858.532,00000000
5569,845.865,00000000
5570,840.512,00000000
5571,842.555,00000000
5572,842.300,00000000
5573,841.991,00000000
5574,843.617,00000000
5575,843.532,00000000
5576,839.717,00000000
5577,845.064,00000000
5578,840.113,00000000
5579,867.541,00000000
5580,1169.714,00000000
5581,2048.024,00000000
5582,3075.521,00000000
5583,2888.693,00000000
5584,1865.167,00000000
5585,1220.683,00000000
5586,982.121,00000000
5587,890.967,00000000
5588,861.352,00000000
5589,845.627,00000000
5590,841.739,00000000
5591,860.671,00000000
5592,852.556,00000000
5593,845.273,00000000
5594,842.179,00000000
5595,842.919,00000000
5596,841.745,00000000
5597,841.300,00000000
5598,841.318,00000000
5599,842.551,00000000
5600,838.444,00000000
5601,843.419,00000000
5602,839.807,00000000
5603,1304.763,00000000
5604,1317.116,00000000
5605,1018.186,00000000
5606,906.877,00000000
5607,868.621,00000000
5608,852.204,00000000
5609,842.192,00000000
5610,843.416,00000000
5611,841.312,00000000
5612,842.699,00000000
5613,840.413,00000000
5614,843.758,00000000
5615,842.961,00000000
5616,858.720,00000000
5617,1205.517,00000000
5618,1587.604,00000000
5619,3100.212,00000000
5620,3379.379,00000000
5621,2178.374,00000000
5622,1336.648,00000000
5623,1512.458,00000000
5624,1362.435,00000000
5625,1037.352,00000000
5626,915.127,00000000
5627,868.814,00000000
5628,872.735,00000000
5629,853.381,00000000
5630,848.896,00000000
5631,840.586,00000000
5632,840.598,00000000
5633,842.500,00000000
5634,840.289,00000000
5635,840.236,00000000
5636,840.192,00000000
5637,840.832,00000000
5638,841.002,00000000
5639,840.775,00000000
5640,864.752,00000000
5641,853.545,00000000
5642,844.344,00000000
5643,1348.446,00000000
5644,1288.978,00000000
5645,1008.512,00000000
5646,902.059,00000000
5647,861.646,00000000
5648,848.998,00000000
5649,842.229,00000000
5650,844.977,00000000
5651,841.920,00000000
5652,862.071,00000000
5653,853.560,00000000
5654,846.132,00000000
