t_start_ms,t_end_ms,duration_ms,peak_ua,mean_ua,energy_total_uj,energy_marginal_uj,type
6157.0,6172.0,16,8313.81,4622.4175625,221.876043,181.48615499999997,ble
6177.0,6188.0,12,8338.504,5443.952083333334,195.98227500000002,165.68985900000004,ble
6197.0,6209.0,13,8483.312,5497.466461538462,214.40119199999998,181.58440799999997,ble
6217.0,6228.0,12,8337.265,5439.242666666666,195.81273599999997,165.52031999999997,ble
6237.0,6248.0,12,9406.632,5942.233083333333,213.92039099999997,183.62797500000002,ble
6257.0,6268.0,12,8332.467,5448.333750000001,196.140015,165.84759900000003,ble
6271.0,6288.0,18,8326.346,4265.136722222222,230.31738299999998,184.87875900000003,ble
6297.0,6310.0,14,8536.967,5266.405428571428,221.189028,185.84787599999999,ble
6317.0,6328.0,12,8332.672,5451.4802500000005,196.25328900000002,165.960873,ble
6335.0,6348.0,14,8290.386,5151.409714285714,216.359208,181.01805599999997,ble
6363.0,6372.0,10,3365.608,1733.3003,51.99900900000001,26.755329,inference
6383.0,6384.0,2,1289.955,1265.405,7.59243,2.5436939999999995,inference
6401.0,6406.0,6,3364.676,1838.8230000000003,33.098814000000004,17.952606,inference
6423.0,6424.0,2,1367.124,1291.3875,7.748325000000001,2.699589,inference
6440.0,6445.0,6,2974.766,1825.9976666666669,32.867958,17.72175,inference
6463.0,6464.0,2,1349.283,1281.2914999999998,7.687748999999999,2.6390129999999994,inference
6476.0,6484.0,9,3258.863,1637.7595555555556,44.219508000000005,21.500195999999995,inference
6503.0,6512.0,10,3566.855,1746.2795,52.388385000000014,27.144705000000002,inference
6523.0,6524.0,2,1359.896,1286.8175,7.720905000000001,2.672169,inference
6540.0,6545.0,6,2966.762,1822.2578333333333,32.800641000000006,17.654432999999997,inference
6563.0,6564.0,2,1342.341,1279.3445,7.676066999999999,2.6273309999999994,inference
6570.0,6574.0,5,2949.353,1794.075,26.911125000000002,14.289284999999998,inference
6583.0,6585.0,3,1361.828,1208.3946666666668,10.875552,3.3024480000000005,inference
6603.0,6605.0,3,1333.858,1205.1706666666666,10.846536,3.2734319999999992,inference
6608.0,6613.0,6,3081.472,1849.0391666666667,33.282705,18.136496999999995,inference
6623.0,6625.0,3,1348.489,1204.551,10.840959,3.2678549999999995,inference
6642.0,6646.0,5,3288.466,1986.5351999999998,29.798028,17.176188,inference
6663.0,6665.0,3,1357.431,1215.885,10.942965000000001,3.3698609999999998,inference
6681.0,6687.0,7,3544.554,1910.6699999999998,40.124069999999996,22.453493999999996,inference
6703.0,6705.0,3,1373.089,1211.436,10.902923999999999,3.3298200000000002,inference
6713.0,6718.0,6,3289.675,1895.4179999999997,34.11752399999999,18.971315999999998,inference
6723.0,6725.0,3,1337.352,1214.7766666666669,10.932990000000002,3.359886,inference
6743.0,6745.0,3,1355.66,1201.6186666666665,10.814568,3.241464,inference
6752.0,6758.0,7,3360.229,1959.6341428571427,41.152317,23.481741,inference
6763.0,6765.0,3,1328.477,1196.8296666666668,10.771467000000001,3.1983630000000005,inference
6783.0,6790.0,8,2552.449,1591.971125,38.207307,18.012363,inference
6803.0,6805.0,3,1364.793,1203.8590000000002,10.834731,3.2616269999999994,inference
6820.0,6825.0,6,2722.892,1803.1025000000002,32.455845000000004,17.309637,inference
6843.0,6845.0,3,1350.057,1201.3363333333334,10.812027,3.238923,inference
6857.0,6865.0,9,2683.063,1474.3186666666666,39.80660399999999,17.087292,inference
6883.0,6885.0,3,1350.186,1204.686,10.842174,3.26907,inference
6891.0,6896.0,6,2542.905,1629.0131666666666,29.322237,14.176029,inference
6903.0,6905.0,3,1355.552,1201.8613333333333,10.816752000000001,3.243648,inference
6923.0,6936.0,14,5248.124,3212.8895,134.941359,99.600207,ble
6943.0,6945.0,3,1338.489,1214.3233333333333,10.92891,3.355806,inference
6957.0,6965.0,9,3509.637,1877.3894444444445,50.689515,27.970203,inference
6983.0,6985.0,3,1382.6,1212.7839999999999,10.915056,3.341952,inference
6991.0,6996.0,6,3357.932,1906.931333333333,34.324763999999995,19.178556,inference
7003.0,7005.0,3,1343.633,1211.0016666666668,10.899015,3.3259110000000005,inference
7023.0,7029.0,7,2949.643,1684.9477142857145,35.383902,17.713326000000002,inference
7043.0,7045.0,3,1329.803,1200.0406666666668,10.800366000000002,3.2272619999999996,inference
7061.0,7066.0,6,3721.684,2090.11,37.62197999999999,22.475772000000003,inference
7083.0,7085.0,3,1367.832,1214.8503333333335,10.933653000000003,3.3605490000000002,inference
7096.0,7100.0,5,2966.024,1794.6051999999995,26.919077999999995,14.297238000000002,inference
7103.0,7105.0,3,1356.3,1219.6636666666666,10.976973000000001,3.4038690000000003,inference
7123.0,7125.0,3,1353.271,1212.1413333333333,10.909272000000001,3.3361680000000002,inference
7135.0,7140.0,6,2542.249,1640.4226666666666,29.527608,14.381399999999998,inference
7143.0,7145.0,3,1383.557,1221.316,10.991843999999999,3.4187399999999997,inference
7163.0,7165.0,3,1359.041,1219.2776666666666,10.973499,3.4003949999999996,inference
7172.0,7178.0,7,3424.795,1941.1165714285712,40.763448,23.092872,inference
7183.0,7185.0,3,1360.24,1213.742,10.923678,3.3505739999999995,inference
7203.0,7205.0,3,1384.174,1220.376,10.983384,3.4102799999999993,inference
7208.0,7212.0,5,2979.495,1798.0201999999997,26.970302999999998,14.348463,inference
7223.0,7225.0,3,1345.418,1218.5553333333335,10.966998,3.3938939999999995,inference
7243.0,7249.0,7,3205.667,1935.6572857142858,40.648803,22.978227,inference
7263.0,7265.0,3,1329.699,1209.1523333333334,10.882371000000001,3.3092669999999997,inference
7274.0,7279.0,6,2589.973,1609.1644999999999,28.964960999999995,13.818752999999997,inference
7283.0,7285.0,3,1355.044,1218.5273333333334,10.966746,3.393642,inference
7303.0,7310.0,8,3139.798,1775.875375,42.62100900000001,22.426064999999998,inference
7323.0,7325.0,3,1340.656,1196.8276666666668,10.771449,3.1983449999999993,inference
7343.0,7349.0,7,2713.27,1692.3974285714287,35.54034600000001,17.86977,inference
7363.0,7365.0,3,1379.972,1252.9146666666668,11.276232,3.703128000000001,inference
7380.0,7386.0,7,3753.001,2111.297714285714,44.33725199999999,26.666676,inference
7403.0,7405.0,3,1360.334,1213.0643333333333,10.917579,3.3444750000000005,inference
7415.0,7425.0,11,3309.458,1667.480090909091,55.02684299999999,27.258795000000006,inference
7443.0,7445.0,3,1369.693,1223.619,11.012571,3.439467,inference
7452.0,7457.0,6,3228.3,1874.6118333333334,33.743013,18.596805,inference
7463.0,7465.0,3,1361.278,1212.376,10.911384,3.3382799999999997,inference
7483.0,7485.0,3,1384.219,1218.3596666666665,10.965237,3.392133,inference
7489.0,7493.0,5,2762.185,1768.1863999999998,26.522795999999996,13.900956,inference
7503.0,7505.0,3,1351.393,1220.374,10.983366000000002,3.410262,inference
7523.0,7525.0,3,1371.51,1202.7693333333334,10.824924,3.2518200000000004,inference
7528.0,7533.0,6,3141.033,1916.4379999999999,34.495884,19.349676,inference
7537.0,7548.0,12,8284.635,5413.7685,194.895666,164.60325000000003,ble
7558.0,7571.0,14,8343.647,5084.482000000001,213.548244,178.20709200000005,ble
7578.0,7588.0,11,8362.805,5802.7586363636365,191.491035,163.722987,ble
7598.0,7611.0,14,8330.258,5209.941285714286,218.817534,183.476382,ble
7618.0,7628.0,11,8341.519,5793.040909090909,191.17034999999998,163.402302,ble
